NAME: ,run_113_3_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:11,,,,,
ACTIVITY TYPE: ,RUNNING,,,,,
COUNT OF ACTUAL STEPS: ,20,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
270.56,-9.35,-1.33,2.71,0.07,0.18,-0.14
270.62,-9.23,-1.41,2.9,0.22,0.22,-0.15
270.67,-8.95,-1.06,2.75,0.28,0.31,-0.21
270.73,-9.27,-1.53,2.67,0.26,0.35,-0.24
270.78,-9.39,-1.96,2.9,0.42,0.18,-0.05
270.83,-8.4,-1.06,2.31,0.77,-0.03,0.03
270.89,-8.37,0.94,1.96,0.84,0.15,0.12
270.94,-9.03,0.86,1.73,0.42,0.23,-0.07
270.99,-9.7,-1.02,2.51,0.05,-0.14,-0.42
271.05,-10.52,0.04,6.04,0.39,0.28,-0.48
271.1,-14.33,0.63,4.59,0.35,1.86,-0.65
271.16,-17.27,0.2,2.9,0.22,1.74,-0.48
271.21,-9.19,-2.2,4.39,-0.08,0.39,-0.43
271.27,-3.19,2.51,-2.16,-0.71,-0.29,0.29
271.32,-6.99,-0.24,0.27,-2.27,-1.7,1.46
271.37,-14.41,-5.02,0.98,-1.23,-2.45,0.25
271.43,-16.68,0.04,3.96,0.4,-2.55,0.66
271.48,-17.82,5.1,9.22,-1.48,-3.39,0.29
271.54,-10.4,-7.37,13.34,-2.09,-1.83,-0.11
271.59,-6.84,-2.98,6.24,0.37,0.51,0.42
271.64,0.07,-3.57,0.39,0.88,-0.43,1.07
271.7,3.87,-1.37,-2.28,0.7,0.37,-0.8
271.75,-2.87,0.82,3.3,0.35,1.82,-0.58
271.8,-9.7,-2.86,-3.1,1.33,-0.02,0.44
271.86,-15.9,-10,-4.2,-0.31,1.67,-2.86
271.91,-19.07,5.49,7.53,2.34,2.32,0.33
271.97,-7.54,2.43,13.57,0.42,1.55,-0.81
272.02,-17.15,8.9,2.9,0.14,3.81,-0.79
272.13,-0.17,3.37,0.51,-0.2,-0.02,-0.68
272.18,-1.5,0.86,0.39,-0.57,-1,1.08
272.24,-1.07,-0.31,-6.28,-1.61,-1.89,1.44
272.29,-19.47,-0.39,-0.63,-2.83,-1.89,1.41
272.35,-19.51,-5.33,3.37,0.43,-1.79,-0.01
272.4,-19.51,12.28,10.98,-0.08,-1.93,0.25
272.45,-6.09,-6.67,7.1,-0.11,-0.91,-0.22
272.51,-1.23,2.59,0.55,0.73,-0.28,0.41
272.56,2.11,-3.69,-1.77,0.09,0.03,-0.63
272.62,1.17,-0.51,1.53,0.23,0.79,-1
272.67,-9.97,-1.02,-0.63,0.84,2.03,0.19
272.72,-19.31,-9.38,-8.59,-0.71,1.36,-2.63
272.78,-12.99,8.9,10.4,1.93,2.55,0.23
