NAME:,run_121_5_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:59,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,132,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.053915,-2.43,-8.08,3.26,-0.26,0.07,0.17
0.137002,-2.71,-8.43,3.06,-0.19,0.06,0.14
0.22951,-2.94,-8.32,2.55,-0.16,0.11,0.11
0.337447,-3.06,-8.59,2.71,-0.16,0.05,0.08
0.446589,-3.33,-8.55,2.98,-0.08,0.21,0.04
0.558629,-3.65,-8.16,2.67,-0.04,0.21,-0.01
0.650775,-3.57,-8.2,2.94,-0.02,0.11,0
0.757847,-3.65,-8.24,3.14,0.02,0.11,-0.04
0.856846,-3.61,-7.81,3.06,0.13,0.18,-0.11
0.945114,-3.8,-7.85,3.65,0.03,0.12,-0.15
1.088318,-3.77,-7.61,3.45,-0.07,0.07,-0.21
1.163776,-4.16,-7.85,5.02,0.06,0.23,-0.19
1.264161,-3.14,-9.18,4.31,-0.15,-0.19,-0.28
1.365491,-1.77,-8.2,2.12,0.03,-0.04,-0.39
1.450232,-2.2,-7.96,2.94,-0.07,-0.07,-0.19
1.554882,-3.3,-7.41,4.04,-0.12,-0.68,-0.05
1.678591,-1.22,-8.32,3.92,0.39,-0.6,-0.14
1.77023,-1.1,-8.28,5.69,0.3,-0.62,-0.13
1.871316,-2.12,-6.94,6.04,-0.04,-0.59,-0.02
1.968282,-2.75,-2.75,2.59,0.1,-0.14,0.36
2.072067,0,-10.9,4.71,-0.81,1.11,-0.47
2.176457,-6.67,-20.01,4.75,-1.77,1.82,1.25
2.271513,-5.22,-9.1,10.36,0.41,1.21,0.55
2.392673,-1.49,-0.12,0.82,-0.06,-0.37,-0.45
2.481788,0.55,0.08,-1.84,-0.78,-0.84,-0.5
2.586281,-5.37,-20.01,10.08,1.27,0,-0.87
2.69492,-5.06,-13.34,9.22,1.14,-1.3,-0.54
2.786271,-1.41,0.2,1.06,-0.34,0.15,0.02
2.886618,0.9,1.29,-1.53,-0.79,0.41,0.54
3.003334,-2.86,-19.06,7.81,-0.13,-0.92,0.04
3.114828,-10.36,-14.63,8.94,0.52,0.12,1.68
3.184067,-3.02,-0.24,0.9,0.81,-0.46,0.08
3.299999,0.47,1.92,-4.2,-0.78,-1.06,-0.19
3.39664,-2.55,-8.71,-0.55,0.39,-0.46,1.1
3.49706,-4.75,-16.4,12.43,1.89,1.74,-0.83
3.602303,-6.67,-0.59,1.06,-1.85,-0.7,0.33
3.702137,-0.04,3.65,-6,-1.47,0.09,0.1
3.81512,-1.69,-2.47,-1.1,2.67,-2.24,1.3
3.919361,-6.71,-16.59,7.14,0.01,-0.34,0.47
4.042295,-2.2,-1.41,7.61,1.05,1.26,-0.9
4.162912,1.26,1.88,-3.84,-2.07,0,-0.5
4.221347,1.14,0.63,-1.26,-0.8,-1.17,-0.14
4.344679,-5.41,-20.01,11.02,3.59,-0.63,0.34
4.460412,-4.67,-9.1,2,-2.27,-1.2,-0.31
4.521266,-3.1,8.47,-2.71,1.94,0.79,0.12
4.634863,-0.78,-1.77,-0.55,-0.29,0.78,0.45
4.731504,-16.2,-20.01,7.45,0.71,0.43,1.03
4.827339,-5.92,-10.24,6.94,-0.39,1.64,-0.16
4.9535,1.49,2.51,0.08,-0.4,-1.2,0.02
5.026383,1.26,0.35,-3.18,-1.32,-0.85,-0.66
5.143127,-9.81,-20.01,11.92,3.98,-0.95,0.58
5.24178,-8.87,-10.83,6.98,0.82,-0.7,-0.71
5.343276,-2.31,0.71,0.08,-0.52,0.8,-0.28
5.440865,1.84,2,-3.8,-0.3,0.88,0.07
5.545757,-2.04,-13.93,13.06,1.44,-0.84,2.13
5.679748,-11.14,-11.41,8.43,-0.23,0.52,0.92
5.75591,-3.14,0.39,1.06,0.46,-0.37,-0.15
5.858573,0.75,1.14,-2.04,-0.83,-0.94,0.09
5.958121,-2.16,-19.34,-2.43,1.58,0.01,0.43
6.062739,-13.38,-12.51,15.14,1.15,-2.28,-0.06
6.148435,-2.08,-1.53,0.59,-0.29,0.31,-0.24
6.252472,1.77,2.2,-4.98,-0.18,1.76,0.31
6.350449,-0.2,-13.06,6.24,1.45,-1.21,0.8
6.465875,-11.61,-18.2,8.51,-0.33,0.39,1.37
6.567151,-2.9,-0.67,2.16,0.58,-0.13,-0.25
6.663546,0.9,1.53,-3.33,-0.92,-0.79,-0.04
6.764963,1.02,-5.96,-2.24,0.23,-0.11,0.17
6.884345,-12,-15.42,17.5,1.6,-1.52,-0.48
6.969711,-3.26,-4.12,2.31,0.51,0.62,-0.66
7.066923,1.61,2.94,-5.65,0.14,0.76,0.01
7.16602,-1.29,-2.39,1.61,-0.07,-0.09,-0.12
7.267806,-13.02,-20.01,5.37,-3.44,2.37,2.45
7.377163,-4.12,-3.45,9.14,-0.29,1.72,-1.05
7.504645,0.24,1.73,-2.67,-1.01,-0.42,-0.35
7.603518,1.84,-2.12,-3.14,0.01,-0.79,0.23
7.690257,-5.53,-19.61,20.01,1.43,-0.31,-0.88
7.785975,-3.45,-7.34,2.08,0.34,-0.54,-1.09
7.884575,-0.94,1.65,-1.02,0.48,0.69,0.46
7.983749,-3.37,-2.43,4.71,-0.11,-0.47,0.52
8.091501,-10.12,-20.01,4.39,-3.43,3.51,1.11
8.190817,-5.96,-3.57,12.4,-0.2,1.52,-0.96
8.314327,1.37,1.22,-2.75,-1.21,-0.57,-0.58
8.407319,3.14,-3.02,-4.24,0.26,-0.96,-0.29
8.49055,-7.22,-20.01,15.02,0.22,0.65,-0.62
8.59713,-7.41,-11.49,4.12,0.97,-0.54,-0.66
8.693477,-2.12,1.84,-0.47,-0.63,0.59,0
8.8259,0.12,-1.49,0.39,-1.21,0.54,0.35
8.921554,-6.24,-20.01,5.02,0.67,-2.25,0.25
9.004963,-6.35,-11.22,8.28,-0.25,0.28,0.04
9.109182,-0.59,0.78,0.98,-0.15,-0.11,-0.37
9.205613,0.71,0.9,-3.53,-0.69,-0.92,-0.67
9.311779,-10.28,-20.01,5.73,2.36,-0.86,1.98
9.4278,-9.38,-14.24,10.24,1.21,-0.41,-0.08
9.517694,-2.08,-1.57,0.24,-0.19,0.4,-0.77
9.620768,1.65,1.53,-3.26,-1.73,1.32,0.45
9.731998,2,-12.16,-2.75,1.58,-2.73,0.5
9.833307,-16.91,-20.01,6.35,-0.23,0.2,1.93
9.937248,-2.63,-3.1,5.1,0.76,0.51,-0.4
10.038071,0.39,2.08,-3.02,-2.01,-1.03,-0.82
10.154507,1.77,-2.86,-3.14,0.56,1.06,-0.39
10.234448,-13.77,-17.65,13.89,0.58,-0.76,-0.53
10.351342,-1.69,-5.57,2.98,0.45,-0.26,-0.34
10.431129,-0.43,2.31,-2.9,0.42,0.54,0.17
10.545935,-0.16,-4.94,2.47,-0.24,0.59,0.05
10.632664,-17.14,-20.01,19.89,-3.08,3.41,0.65
10.753016,-5.49,-5.1,12.32,0.7,1.37,-0.18
10.842444,1.84,1.57,-3.88,-1.71,-0.9,-0.18
10.950879,1.57,-2.16,-1.96,-0.3,-0.85,0.16
11.054416,-12.47,-20.01,13.61,-0.32,-0.53,-0.67
11.16872,-4.51,-10.51,-1.49,-0.39,-2.75,0.69
11.258263,-1.88,2.94,-0.94,0.47,0.4,0.09
11.365914,0.51,-2.39,0,-1.71,1.73,-1.16
11.465347,-5.41,-18.28,4.71,-1.34,2.4,-1.84
11.559215,-6.16,-6.51,10.67,1.38,3.29,-0.61
11.65665,2.2,1.22,-4.47,-1.19,-0.92,0.16
11.777941,1.33,-0.75,-2.16,-0.4,-0.4,-0.36
11.874697,-7.37,-19.18,12.71,1.1,1.09,-0.74
11.978317,-8.63,-10.12,2,-1.21,-1.86,0.61
12.079503,-0.71,2.86,0.04,-0.16,0.26,0.1
12.17569,3.61,-2.55,-2,-0.74,0.68,-0.37
12.277803,-6.24,-18.01,4.31,-0.83,3.3,-0.09
12.370747,-4.55,-9.89,6.16,0.95,3.1,-0.67
12.498628,-0.04,1.41,-1.45,-1.18,-0.68,0.1
12.576859,1.02,-0.47,-2.28,0.14,-0.29,-0.49
12.752046,-9.22,-20.01,15.34,-1.31,1.42,-1.98
12.815928,-2.08,-9.45,0.98,0.58,-1.46,-0.1
12.898126,-1.8,1.37,-0.39,-0.67,0.42,0.14
12.995641,1.61,-4.75,-0.71,-1.22,0.96,0.12
13.093407,-3.8,-17.85,6.75,-1,0.15,-1.13
13.198261,-2.98,-7.57,10.63,3.42,2.68,0.71
13.282286,2.31,0.43,-2.82,-0.89,-0.69,-0.31
13.402769,1.45,-0.39,-2.39,-0.38,-1.04,-0.06
13.498648,-5.73,-20.01,14.51,0.35,0.4,-1.61
13.605913,-7.06,-12.67,2.24,0.24,-1.07,0.07
13.709643,-1.33,1.37,1.18,0.31,-0.14,0.15
13.806436,2.75,2.47,-5.37,-1.55,0.97,0.84
13.903899,2.79,-20.01,6.43,-1.11,-3.58,-1.73
14.048132,-7.41,-11.45,7.02,2.02,1.84,1.19
14.117033,-0.59,1.14,0.04,-0.41,-0.38,-0.19
14.20724,-0.27,0.86,-2.2,0.11,-0.31,-0.33
14.315354,-8.12,-20.01,6.59,1.07,-0.4,-0.34
14.412526,-11.65,-15.1,8.39,1.29,-0.35,-0.2
14.528871,-0.55,1.41,1.88,-0.2,0.96,-0.35
14.639522,2.75,-0.16,0.63,-0.76,1.6,-0.24
14.732872,-9.69,-15.46,12.87,-0.11,-1.52,-0.5
14.834899,-13.49,-16.95,7.85,-0.44,0.72,1.64
14.935487,-1.57,0.12,3.73,0.26,0.09,-0.3
15.02218,-1.69,2.39,-2.98,-0.76,-1.14,0.03
15.123755,-6.39,-15.85,2.2,0.75,-0.96,0.86
15.239338,-12.67,-13.1,13.93,1.23,-1.17,0.06
15.337794,-0.16,-2.9,-0.67,0.27,0.7,-0.97
15.439257,1.77,2.28,-3.33,-0.71,0.23,-0.32
15.532627,-0.59,-15.14,4.79,1.61,-3.73,0.39
15.659006,-9.14,-19.89,8.79,-1.56,1.55,1.82
15.752604,-4.63,2.12,8.75,-1.65,0.6,-0.37
15.861757,-1.73,2.79,-2.9,-1.36,-0.88,0.07
15.967683,0.35,-4.28,-0.9,-0.02,-0.59,0.04
16.043319,-5.73,-14.44,15.26,1.95,-0.82,-0.83
16.171289,-1.61,-7.02,2.28,0.13,-0.48,-0.4
16.244637,0.43,2.98,-3.18,1.45,1.66,0.93
16.382209,-2.2,-3.8,7.02,0.74,-0.99,0.29
16.465223,-10.67,-20.01,11.22,-2.78,3.68,-0.49
16.567598,-4.59,-5.45,9.06,0.34,2.23,-0.61
16.655,3.96,0.82,-3.02,-1.51,-0.55,-0.3
16.770656,0.98,-1.18,-1.14,0.39,-0.32,-0.09
16.863414,-4.94,-20.01,14.28,-0.78,0.32,-1.53
16.979275,-4.08,-9.96,1.53,0.53,-0.9,-0.38
17.071357,-2.51,1.26,0.35,0.08,0.86,0.3
17.17641,1.8,-0.12,-2.16,-0.92,1.4,-0.39
17.268182,-4.28,-19.89,8.94,-2.02,-4.45,-0.83
17.38185,-10,-13.93,5.1,0.25,0.81,2.4
17.481674,0.39,-0.2,-2.94,-0.1,-0.82,0.08
17.571585,0.12,1.26,-1.77,0.49,-0.48,0.18
17.691515,-10.4,-20.01,13.61,2.23,-1.06,-0.38
17.788435,-16.04,-15.02,11.18,0.62,-2.41,-0.02
17.880144,-0.71,2.2,2.63,-0.33,0.63,-0.46
17.982864,1.53,0.04,-1.65,-0.04,2.18,0.3
18.076675,-3.69,-11.26,5.53,0.24,-1.9,-0.89
18.189298,-13.57,-18.16,7.37,-1.02,1.43,1.55
18.29109,-4.04,2.43,4.82,-0.4,0.01,-0.31
18.387207,-0.63,3.88,-2.51,-1.14,-0.76,-0.19
18.498024,-2,-8.16,1.37,1.91,0.44,-0.45
18.596239,-10.16,-14.98,13.14,1.57,-0.12,-0.13
18.694515,-2.2,-6.43,-1.49,-0.36,-0.48,-0.38
18.794213,0.43,2.86,-3.53,1.34,1.61,1.02
18.915206,1.26,-4.39,2.12,0.5,1.3,-0.42
19.011914,-13.89,-20.01,9.96,-0.72,4.01,-0.54
19.119265,-5.73,-8.59,6.94,1.09,2.81,-0.03
19.20767,1.8,0.35,-3.88,-0.83,-0.94,-0.26
19.316497,0.94,0.12,-2.47,0.24,-0.22,-0.69
19.406824,-6.28,-20.01,10.87,-0.85,0.78,-2.09
19.5269,-5.73,-8.47,1.22,-0.31,-1.7,-0.12
19.650572,-1.33,1.57,0.27,0.42,0.94,-0.01
19.760952,1.29,-0.75,-2.39,-0.29,1.26,-0.37
19.83492,-13.96,-20.01,8.04,-2.65,0.24,0.24
19.918775,-8.32,-9.38,4.35,-0.08,1.07,1.13
20.034422,2.12,0.16,-1.02,-0.83,-0.86,-0.09
20.128118,0.31,-0.35,-1.77,0.28,-0.14,-0.38
20.246802,-4.39,-20.01,9.69,-0.94,0.11,-1.51
20.35046,-9.45,-10.71,3.96,0.54,-1.12,-0.07
20.443784,-3.06,1.33,1.1,0.18,0.85,0.41
20.543403,2.67,0,-2.55,-0.23,1.66,-0.35
20.637392,-12.51,-20.01,11.73,-0.68,-3.13,-0.23
20.745728,-13.73,-12.94,7.53,-0.43,0.11,1.52
20.854651,-0.55,-0.98,-0.24,0.23,-0.43,-0.19
20.95046,0,2.2,-2.24,-0.06,-0.52,-0.02
21.036541,-3.18,-18.51,1.26,1.33,-0.26,-0.36
21.158802,-14.24,-13.38,14,0.91,-2.36,0.34
21.259651,-0.9,-1.73,2.55,-0.48,0.64,-0.37
21.37137,0.86,5.33,-6.43,0.08,1.59,0.07
21.455469,4.2,-9.02,0.98,1.34,-0.44,-0.15
21.572155,-15.69,-19.57,10.36,-1.46,1.7,1.15
21.66039,-5.77,-0.31,7.45,-0.08,0.77,-0.2
21.757983,0.55,2.12,-2.71,-1.54,-0.44,-0.21
21.864325,0.24,-4.28,0.35,0.37,-0.27,-0.27
21.971169,-9.18,-15.1,11.61,2.06,-0.24,-0.04
22.072096,-2.59,-5.81,-1.88,-0.06,-0.66,-0.8
22.178858,1.57,3.49,-4.31,0.64,1.44,0.89
22.272813,-0.9,-4.08,1.69,0.7,-0.73,0.14
22.371127,-15.22,-20.01,11.96,-0.74,2.79,1.63
22.462243,-3.61,-0.82,9.34,0.28,1.65,-0.28
22.597446,1.65,2.43,-2.43,-1.55,-0.07,-0.44
22.686638,0.71,-1.06,-1.41,0.02,-0.36,-0.1
22.781011,-6.63,-12.47,12.4,0.11,1.57,-1.01
22.878526,-4.43,-7.73,-0.67,-1.13,-0.94,-0.64
22.998261,-1.26,2.31,-2.35,0.82,1.07,0.21
23.116706,0.59,-2.31,-0.63,-0.71,2.06,-0.79
23.197535,-15.97,-20.01,7.81,-2.53,1.85,0.08
23.300897,-7.1,-3.53,7.02,0.93,2.66,-0.28
23.387341,1.22,1.18,-2.67,-1.21,-0.94,-0.3
23.484549,0.9,-1.02,-1.37,-0.13,-0.5,-0.38
23.603376,-6.86,-20.01,11.89,-0.26,0.31,-1.1
23.695124,-4.82,-11.45,2.63,0.06,-1.29,-0.23
23.80332,-2.59,2.94,-0.31,0.64,1.12,0.23
23.900319,-0.94,-1.41,-0.39,-0.98,1.23,-0.22
24.001759,-5.92,-18.75,4.71,-2.36,0.49,-0.35
24.111933,-6.75,-5.84,9.41,0.98,1.85,0.73
24.209345,1.1,-0.08,-1.18,-0.73,-1.04,-0.11
24.32355,1.02,1.45,-2.75,-0.34,-0.78,-0.34
24.425016,-12.91,-20.01,8.47,1.3,-1.89,-1.17
24.528563,-9.06,-9.22,7.41,0.42,-1.74,0.13
24.626312,-1.06,0.51,1.1,-0.17,0.74,-0.01
24.706711,1.77,0.71,-2.59,-0.4,0.94,0.03
24.822838,-7.81,-20.01,2.55,-2.25,-2.86,-0.05
24.935112,-8.12,-11.34,4.67,0.15,0.32,1.37
25.044981,-0.82,1.84,-0.47,-0.84,-1.16,0.19
25.133555,0.71,1.45,-2.2,-0.16,-0.8,0.11
25.239641,-8.24,-20.01,14.63,1.96,-0.7,-0.04
25.33481,-12.43,-12.4,11.02,1.4,-1.66,0.01
25.436045,-1.8,0.71,0.71,-0.54,0.51,-0.1
25.539285,2,2.86,-3.06,-0.14,1.46,0.5
25.630979,-7.3,-15.89,13.85,1.39,-0.19,-0.28
25.745332,-15.34,-14.75,6.51,0.09,0.31,1.6
25.834264,-1.06,1.02,3.3,-0.2,-0.16,-0.27
25.93376,-1.02,2.43,-2.2,-0.14,-0.46,0.01
26.045884,-3.22,-9.89,0.98,1.02,-0.54,-0.3
26.162134,-19.73,-11.96,17.5,0.4,-1.84,0.49
26.262375,-0.63,-5.02,0.47,-0.57,0.08,-0.19
26.351838,1.1,2.75,-3.53,-0.05,0.83,1.14
26.446266,5.22,-16.67,4.71,1.95,-3.41,0.34
26.563357,-16.48,-20.01,8.04,-2.76,1.66,1.52
26.666494,-2.43,-0.08,7.88,0.46,1.89,-0.71
26.764595,-0.27,2.47,-2.08,-1.31,-0.77,-0.02
26.867193,0.27,-3.22,-0.63,0,-0.55,-0.21
26.958187,-5.06,-14.67,10.43,1.2,0.38,-0.97
27.07096,-2.98,-8.67,-0.94,-0.88,-1.44,-0.37
