"NAME:","run_122_2_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:09:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-1.84","10.1","1.33","-0.34","0.06","-0.22"
"0.060","-2.12","9.41","1.14","-0.33","0.06","-0.31"
"0.130","-2.47","9.30","2.08","-0.36","-0.24","-0.30"
"0.189","-2.12","9.22","2.24","-0.26","-0.51","-0.29"
"0.25","-0.78","10.2","0.04","0.01","-0.81","-0.06"
"0.319","-1.88","9.57","1.73","-0.16","-0.50","0.12"
"0.380","-0.43","10.3","0.78","-0.42","-0.69","0.04"
"0.439","-0.20","10.9","1.18","-0.51","-0.09","0.30"
"0.509","0.04","11.1","1.80","-0.70","-0.08","-0.43"
"0.569","-0.71","10.7","1.06","-0.13","0.07","-0.58"
"0.689","-1.77","6.20","3.06","-0.02","-0.09","-0.38"
"0.759","-4.31","10.5","6.51","-0.23","0.59","-0.85"
"0.819","-3.49","13.1","4.98","-0.65","0.62","-1.21"
"0.880","-4.28","17.7","0.94","-0.48","-0.71","-1.58"
"0.950","-5.61","4.75","2.90","0.05","3.05","-0.60"
"1.009","-3.84","-1.29","2.98","0.40","1.38","-0.04"
"1.069","-0.98","-0.08","-2.51","0.91","-0.29","1.36"
"1.139","-11.9","8.87","12.0","0.61","-0.22","3.25"
"1.200","-4.39","20.0","5.57","-0.37","-1.16","-0.18"
"1.259","-2.16","16.2","2.63","0.55","-2.20","0.97"
"1.319","3.37","-2.24","-1.69","1.28","-1.14","-0.02"
"1.389","-1.06","0.67","0.67","0.56","-0.84","0.85"
"1.450","-8.12","1.69","2.12","-1.54","-0.45","-0.92"
"1.579","-4.98","16.5","0.47","-1.17","1.53","-1.18"
"1.639","1.29","17.5","-8.00","-0.39","0.08","-1.99"
"1.700","-11.1","-1.84","3.02","0.48","3.99","0.47"
"1.759","-0.24","-3.41","1.06","1.30","-0.42","0.45"
"1.829","-6.86","13.3","3.77","-1.00","0.46","2.17"
"1.889","-8.08","16.7","3.10","-0.20","-0.94","-0.30"
"1.950","-3.33","20.0","2.94","-0.47","-2.38","0.55"
"2.020","3.37","2.71","-3.37","0.08","-1.91","0.70"
"2.079","2.43","-2.55","-2.90","1.42","-0.27","0.73"
"2.139","-3.26","-3.57","0.59","1.13","-0.58","-0.22"
"2.209","-11.2","13.0","14.9","0.13","-1.49","-0.68"
"2.270","-8.39","17.3","10.0","-2.47","4.12","-0.44"
"2.329","0.94","19.9","-0.08","-1.08","-0.58","-2.32"
"2.400","-4.00","-2.20","1.29","1.04","4.97","0.24"
"2.459","-6.79","-3.61","7.61","1.04","1.28","-0.17"
"2.520","0.67","2.24","-6.39","-0.14","-1.20","1.64"
"2.579","-11.1","16.6","9.73","-1.61","0.83","3.56"
"2.650","-4.31","20.0","4.24","-0.33","-1.85","-0.59"
"2.959","8.28","20.0","-2.16","2.37","-2.01","-1.28"
"3.020","-5.65","17.4","1.02","-1.44","2.77","-0.63"
"3.090","3.69","13.8","-5.37","0.43","0.17","-2.23"
"3.150","-15.0","-4.04","12.0","-0.81","4.99","0.36"
"3.970","-4.47","1.61","0.94","-0.86","-0.02","1.82"
"4.029","-10.4","17.3","5.06","1.44","-2.04","2.21"
"4.09","-0.12","20.0","3.37","-0.24","-2.53","0.25"
"4.970","-4.75","-1.45","5.02","0.37","0.44","1.04"
"5.040","-1.49","11.2","2.00","-0.20","0.82","-2.05"
"5.099","5.92","20.0","-13.9","2.74","-2.86","-0.52"
"5.16","-6.04","15.4","1.92","-1.23","2.09","-1.52"
"5.229","3.61","9.06","-7.81","1.13","0.36","-1.74"
"5.290","-13.6","-3.88","8.12","-0.66","2.94","-0.53"
"5.349","-0.59","0.82","-1.69","0.22","-1.05","0.74"
"5.41","-17.8","20.0","6.71","-2.99","-0.27","2.82"
"5.479","-10.0","20.0","-0.20","0.62","-1.46","-1.77"
"5.540","0.67","14.3","-2.59","1.11","-3.77","1.19"
"5.599","2.71","-9.06","-0.16","0.84","-0.09","0.54"
"5.669","-2.94","-0.04","-1.37","0.68","-0.52","0.62"
"5.729","-0.43","-2.35","-3.92","0.88","-0.76","-1.40"
"5.790","5.73","20.0","-4.98","3.42","-3.89","-1.66"
"5.860","-11.7","18.4","11.8","-2.50","3.98","0.01"
"5.919","-1.26","18.4","-4.47","-0.04","-0.28","-2.72"
"5.979","-14.5","-7.85","7.53","0.01","4.98","0.06"
"6.040","3.18","-1.14","-0.04","1.06","-1.16","0.44"
"6.110","-3.88","-0.47","0.90","-0.95","-0.57","2.72"
"6.169","-8.16","11.0","9.61","1.97","-1.06","2.90"
"6.229","-1.29","20.0","4.47","-0.67","-1.34","0.08"
"6.299","0.27","4.00","-0.04","0.56","-0.98","1.38"
"6.360","-1.41","-0.78","8.36","0.93","0.35","-0.04"
"6.419","-3.14","-5.61","0.47","0.56","-0.47","0.14"
"6.490","-19.9","14.9","12.4","-4.37","1.80","-1.83"
"6.549","8.71","20.0","-12.7","0.17","-0.43","-1.28"
"6.610","-7.45","18.6","-0.86","-0.78","1.83","-2.35"
"6.669","-0.16","-0.59","-7.02","2.00","3.37","-0.38"
"6.740","-9.26","-3.33","3.45","-0.12","1.18","-0.16"
"6.799","0.27","3.33","-1.77","0.19","-0.53","1.15"
"6.860","-20.0","20.0","5.06","-1.84","0.02","1.25"
"6.930","-8.16","20.0","-4.79","0.47","-2.63","-1.45"
