NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-20.01,1.57,12.59,-0.96,-0.43,-0.34
.0820,-16.91,-2.31,6.39,-0.42,0.19,0.68
.1640,-11.34,-2.79,2.31,0.77,-0.11,0.61
.2460,0.20,1.22,-1.14,0.46,-0.29,0.33
.3280,-0.51,-0.08,-1.18,0.28,0.38,-0.88
.4100,-16.91,-1.33,9.81,-0.11,0.11,0.75
.4920,-16.71,-0.82,5.88,-0.14,-1.35,-0.12
.5740,-12.32,-4.16,4.20,0.57,-1.00,-0.49
.6560,-3.45,-1.49,1.14,0.18,0.09,0.28
.7380,1.65,2.47,5.18,-0.37,0.59,-0.28
.8200,-20.01,-0.47,12.98,-0.40,-0.27,-0.57
.9020,-17.18,-2.55,5.81,-0.16,0.32,1.04
.9840,-6.35,-1.96,0.47,0.70,-0.06,0.82
1.0660,1.06,3.06,-1.61,0.44,0.12,-0.22
1.1480,0.43,5.49,12.43,0.13,0.34,-1.17
1.2300,-9.65,-1.02,5.45,-0.38,0.02,0.27
1.3120,-19.50,-1.77,7.06,0.62,-1.17,-0.23
1.3940,-7.96,-0.39,1.22,0.21,-0.78,-0.20
1.4760,0.51,0.78,0.82,-0.19,0.26,-0.04
1.5580,-7.49,0.82,5.96,-2.14,1.13,-0.06
1.6400,-17.10,-4.39,6.90,0.21,1.04,-0.05
1.7220,-11.18,-0.27,3.41,0.41,0.34,0.81
1.8040,1.92,-1.37,-2.86,0.56,-0.41,0.59
1.8860,-0.94,1.53,-1.02,0.41,0.56,-0.88
1.9680,-12.79,2.24,11.41,-0.61,2.35,1.37
2.0500,-16.08,-0.71,4.47,-0.27,-1.29,-0.26
2.1320,-11.81,-2.94,3.80,0.46,-1.06,-0.43
2.2140,-2.04,-2.75,1.88,0.33,0.05,0.19
2.2960,0.55,2.08,5.49,-0.82,0.67,-0.55
2.3780,-20.01,-0.16,14.32,-0.10,0.00,-0.55
2.4600,-16.55,-2.28,4.94,0.43,0.07,0.88
2.5420,-4.67,-3.26,-0.59,0.93,0.03,0.65
2.6240,1.53,3.96,-0.71,0.02,0.12,-0.57
2.7060,-10.36,5.92,20.01,-0.25,0.17,-0.75
2.7880,-12.98,-1.73,5.45,-0.45,-0.33,0.33
2.8700,-17.81,-1.29,5.77,0.60,-1.66,-0.08
2.9520,-6.55,-2.08,1.02,0.31,-0.42,0.03
3.0340,0.82,1.14,0.00,-0.65,0.19,0.12
