NAME:,run_124_3_1,,,,,
EXPERIMENT TIME:,20/03/2024 10:48,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,161,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,4.2,7.61,-0.94,-0.13,0.14,-0.13
0.099991,3.92,5.81,1.02,-0.53,-0.29,-0.06
0.199997,5.57,10.08,4.08,0.24,0.07,0.12
0.309998,3.57,6.43,2.55,-0.32,0.55,0.13
0.410004,1.8,4.31,0.47,-0.57,-0.54,0.01
0.819992,6.39,10.16,1.41,1.35,-0.87,0.89
1.429993,-2.55,-7.53,0.59,-1.07,0.87,-0.59
1.529999,4.98,12.32,1.84,-3.07,-2.89,-1.57
1.630005,10,16.95,0.82,-0.92,-1.06,-0.51
1.729996,2,4.08,0.86,0.72,-0.99,0.77
1.830002,4.47,-1.37,-3.73,-0.54,-0.53,-0.6
3.979996,5.02,10.47,20.01,-1.24,-2.88,0.05
4.080002,10.4,10.83,9.92,1.7,0.28,1.41
4.179993,4.79,2.55,-8.43,1.49,0.28,-0.29
4.279999,3.61,0.51,0.47,-0.07,-0.49,0.02
4.380005,20.01,20.01,11.65,0.24,-1.2,2.74
4.490005,11.34,11.57,7.85,2.23,2.36,1.88
4.589996,-4.47,-4.16,-5.1,0.29,1.42,-0.05
4.690002,4.35,5.18,-3.41,-0.86,-0.18,-0.41
4.789993,14.51,14.32,-0.2,0.21,-0.11,-1.82
4.899994,7.22,9.49,4.47,1.84,-0.13,1.07
5,-0.63,8.94,-1.88,-0.49,-0.11,-0.44
5.099991,3.88,0.82,-1.33,-1.51,1.32,-0.89
5.199997,17.06,20.01,10.36,-2.63,-2.1,0.53
5.300003,3.61,7.14,4.71,-1.75,1.05,0.41
5.410004,-4.67,-6.51,-4.43,0.98,0.4,-1.79
5.509995,3.88,9.26,-1.37,-0.03,0.42,-0.3
5.610001,20.01,20.01,9.02,-0.98,-2.01,1.18
5.709991,6.43,7.85,6.71,0.41,-1.25,1.8
