"NAME:","run126_1_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:48"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","60"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"352.32","5.69","-0.51","-9.02","0.07","0.43","0.99"
"352.42","4.79","-1.45","-5.73","0.05","-0.19","0.42"
"352.52","6.67","-3.73","-9.06","0.36","-0.91","-0.37"
"352.62","3.96","-3.49","-10.00","0.80","-0.91","-0.24"
"352.72","2.90","-3.69","-12.04","1.37","-1.16","0.47"
"352.83","5.73","-1.14","-16.12","2.01","-2.13","0.48"
"352.93","2.16","2.43","-3.18","0.43","1.30","-1.03"
"353.03","5.61","-5.92","-7.61","-2.21","0.33","1.87"
"353.13","1.88","-11.69","-10.83","-0.96","3.80","-3.24"
"353.23","0.98","1.49","-8.79","-1.00","2.05","0.68"
"353.33","-3.26","-3.22","7.61","-0.37","-2.31","1.04"
"353.44","-4.43","-2.63","-9.73","-2.45","-0.40","-1.76"
"353.54","-7.22","-8.04","-11.81","1.69","-2.89","1.48"
"353.64","3.37","-4.31","-19.46","4.51","-0.57","-6.09"
"353.74","3.49","-0.55","-2.67","-0.13","0.89","5.30"
"353.85","5.18","0.78","-4.16","-2.61","-0.37","-0.64"
"353.95","1.41","-14.87","-13.18","-3.27","3.29","-4.75"
"354.05","1.02","8.12","-11.26","-0.35","2.87","1.67"
"354.15","-11.06","-5.30","9.65","-1.15","0.41","-1.11"
"354.25","-11.53","-12.16","-17.57","-4.37","5.80","4.66"
"354.36","-10.90","-6.94","-12.08","1.26","-1.04","1.78"
"354.46","9.06","-9.57","-14.36","2.32","-2.31","-5.55"
"354.56","4.24","-3.65","-3.18","-0.77","2.44","7.35"
"354.66","-2.47","6.63","-13.61","-3.59","1.95","-0.94"
"354.76","6.32","-7.02","-8.71","-0.81","0.36","-3.08"
"354.86","-2.24","-3.02","-1.77","-1.49","1.46","3.11"
"354.97","-0.12","-1.22","-1.49","-0.64","-5.47","-3.31"
"355.07","-0.86","-1.26","19.81","0.35","0.53","7.02"
"355.17","-2.67","-12.87","-20.01","3.91","-7.59","4.49"
"355.27","5.33","8.51","-18.32","1.94","1.60","1.46"
"355.37","-5.26","4.67","-1.06","-1.05","0.50","-5.06"
"355.48","-0.20","-19.85","-6.71","-1.59","1.50","-2.67"
"355.58","4.35","-0.16","-14.55","0.96","0.56","-0.97"
"355.68","-3.65","-2.24","-4.51","0.00","-2.46","1.10"
"355.78","-11.85","0.71","-12.16","-3.11","7.47","-3.15"
"355.89","-17.61","-7.92","-5.61","1.33","1.28","-0.68"
"355.99","14.55","5.33","-20.01","6.92","-3.27","-3.11"
"356.09","3.02","-3.73","-3.41","0.54","2.12","3.27"
"356.19","5.69","-2.39","-7.73","-2.27","-0.71","-1.03"
"356.29","14.08","-20.01","-10.04","-3.33","2.91","2.74"
"356.39","1.10","4.79","-5.33","0.10","0.97","1.15"
"356.50","-9.57","-3.10","4.47","-0.60","-3.92","-2.51"
"356.60","-0.08","-1.49","10.43","-3.50","-1.94","1.94"
"356.70","-4.24","-8.43","-20.01","4.19","-7.90","1.98"
