"NAME:","run_126_2_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:49"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","75"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"428.51","-1.49","-0.20","-9.96","0.43","0.04","-0.50"
"428.61","-0.82","-1.84","-9.77","0.32","-0.45","-0.34"
"428.71","-0.86","0.00","-11.49","0.63","-0.67","-0.34"
"428.82","4.35","-2.35","-13.42","0.96","0.53","2.82"
"428.92","4.24","-6.39","-16.59","-2.84","3.26","3.19"
"429.02","5.26","3.41","-16.20","-0.66","3.75","-1.71"
"429.12","3.41","-0.51","-3.96","-1.42","2.59","1.95"
"429.22","4.47","-1.33","-0.90","0.23","-2.78","-0.80"
"429.33","18.75","-3.57","-12.63","0.07","-2.42","1.11"
"429.43","9.89","-3.49","-15.69","1.94","-2.12","1.11"
"429.53","2.16","0.59","-15.93","2.14","-3.38","-3.24"
"429.63","12.24","0.16","-14.95","2.26","-0.46","0.74"
"429.73","-4.35","4.79","-1.29","-0.77","0.27","-3.42"
"429.83","-3.92","-13.45","-14.63","-2.65","7.12","2.93"
"429.94","8.87","10.16","-15.38","-1.26","1.34","-2.10"
"430.04","-1.41","-9.89","-5.61","-1.72","-0.40","2.19"
"430.14","1.77","-5.96","-4.20","0.49","-1.40","1.60"
"430.24","-4.98","-3.49","-3.73","0.12","-0.88","-3.95"
"430.35","-5.77","-8.24","-20.01","4.61","-4.32","1.03"
"430.45","14.75","2.00","-19.50","1.78","-0.42","0.33"
"430.55","0.20","1.37","2.39","-0.32","1.70","0.67"
"430.65","6.51","-9.18","-20.01","-3.21","4.65","2.74"
"430.75","5.92","1.22","-13.96","-0.68","4.02","-5.24"
"430.86","-1.26","-14.04","2.75","-3.52","0.57","7.59"
"430.96","-1.26","1.02","-9.22","0.00","-0.65","-6.71"
"431.06","-1.77","-15.73","-7.06","3.89","0.99","9.81"
"431.16","-5.10","-5.33","-20.01","4.26","-9.95","-4.92"
"431.26","6.90","-4.12","-4.55","1.38","0.34","1.61"
"431.36","-2.28","-12.36","-12.83","-1.21","3.48","9.98"
"431.47","20.01","-20.01","-20.01","-3.26","1.03","2.97"
"431.57","-4.16","14.75","-7.22","-1.68","-0.85","1.11"
"431.67","-3.92","-7.92","2.08","-1.77","2.22","3.02"
"431.77","19.97","-9.77","-5.14","1.59","-5.30","3.96"
"431.87","-5.45","-7.30","-20.01","4.60","-4.63","-2.71"
"431.98","2.86","5.18","-3.45","3.76","0.16","-0.89"
"432.08","-2.31","-6.12","-2.98","-0.13","3.63","9.29"
"432.18","-2.79","-20.01","-20.01","-3.91","6.62","-6.95"
"432.28","2.90","11.65","1.57","-0.37","0.38","-5.00"
"432.39","-2.35","-1.61","3.41","0.61","-1.15","-0.52"
"432.49","5.30","-12.12","-0.04","0.19","-3.35","-4.14"
"432.59","-1.92","3.88","-20.01","3.86","-2.74","0.61"
"432.69","10.67","-17.77","-16.04","1.56","1.17","5.74"
"432.79","0.75","4.59","-5.06","-2.41","0.54","-5.60"
"432.89","1.57","-16.79","-18.91","-1.81","4.69","1.76"
"433.00","1.26","7.73","-7.69","0.27","1.03","-0.86"
"433.10","-1.10","0.59","6.35","1.38","-2.10","4.15"
"433.20","-20.01","-19.85","-1.26","-4.43","-0.22","-0.44"
"433.30","-0.20","-2.51","-14.00","5.45","-4.53","2.09"
"433.40","-2.35","-7.73","-18.32","5.84","2.19","7.58"
"433.51","-2.71","3.77","4.98","-1.55","2.02","-1.59"
"433.61","-15.34","-20.01","-20.01","-3.06","7.26","8.77"
"433.71","-5.02","-10.04","-19.22","-1.13","5.79","-1.95"
"433.81","2.94","-9.65","14.87","-1.09","-2.10","8.23"
"433.92","5.88","-2.24","-8.75","-0.63","-0.70","1.74"
"434.02","-1.77","-10.79","-5.57","1.78","2.55","2.26"
"434.12","-0.82","5.33","-20.01","4.02","-7.30","-0.83"
"434.22","10.51","11.61","-1.73","4.98","-0.17","0.02"
"434.32","-8.87","-6.24","-0.71","-3.71","3.25","0.62"
"434.42","1.49","-16.71","-20.01","-1.96","2.82","1.66"
"434.53","-0.20","8.59","-7.61","-0.90","0.42","0.78"
"434.63","-1.41","-4.63","2.59","-1.76","-1.27","-1.75"
"434.73","-8.39","-20.01","-20.01","-4.67","-0.75","3.37"
"434.83","-10.94","-0.98","-18.01","5.29","-4.60","3.44"
"434.93","-1.80","-1.61","-0.98","7.20","4.17","7.88"
"435.04","1.02","7.30","10.00","-0.50","1.73","-2.60"
"435.14","-8.51","-6.28","-20.01","-3.26","7.32","8.72"
"435.24","4.16","-4.35","-6.51","-3.75","1.62","3.37"
"435.34","-0.43","0.78","0.94","-0.77","-3.04","8.68"
"435.45","0.16","-7.02","-3.45","-1.97","-0.68","2.69"
"435.55","-2.94","-10.32","-6.35","2.59","0.39","0.86"
"435.65","2.35","11.18","-20.01","0.28","-7.68","-5.88"
"435.75","-2.39","-1.45","-9.81","5.45","0.12","2.16"
"435.85","0.12","10.12","-1.18","-0.26","0.84","-5.96"
"435.95","-3.53","6.32","-19.22","-3.30","3.96","-9.07"
"436.06","-2.39","-2.04","-6.83","0.68","1.44","-4.85"
"436.16","-0.51","-7.61","-6.20","-4.44","-0.07","0.18"
"436.26","9.26","-20.01","-20.01","1.39","-0.14","9.92"
"436.36","-5.84","7.30","-16.04","2.98","-3.79","-5.59"
"436.46","-1.84","-3.18","-15.73","4.18","-1.40","-3.93"
"436.57","-0.24","-0.24","1.53","0.17","0.19","-8.72"
"436.67","8.04","7.69","-20.01","-1.62","5.07","4.61"
"436.77","-8.43","-5.33","-10.63","-1.71","7.39","-4.22"
"436.87","-7.69","17.42","1.10","-0.26","-1.42","-4.63"
"436.98","-2.31","-3.30","-3.10","-1.07","1.03","2.36"
"437.08","6.98","-18.91","8.47","3.80","-2.08","4.00"
