"NAME:","run_126_4_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:56"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","125"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"173.31","19.97","-13.26","-14.83","0.62","-4.53","-2.11"
"173.41","2.08","-6.63","-10.36","-1.77","0.42","-0.49"
"173.51","-2.39","-5.92","-8.36","1.41","-0.13","-1.03"
"173.61","18.28","-8.79","-14.12","0.22","-5.01","-2.79"
"173.72","3.49","-15.14","-19.38","-0.32","-2.61","1.62"
"173.82","8.79","1.53","-10.32","0.72","-0.33","-1.04"
"173.92","-2.04","7.41","-8.16","-0.92","2.90","0.87"
"174.02","-1.84","-16.55","-15.46","-3.94","3.65","-0.53"
"174.12","1.80","1.96","-8.32","2.41","0.40","-3.38"
"174.23","-2.71","-1.10","-0.75","3.41","-1.89","3.00"
"174.33","17.65","-15.77","-13.18","-6.62","-0.76","0.32"
"174.43","-8.67","-2.75","-10.47","1.12","-0.33","0.01"
"174.53","20.01","3.73","-20.01","0.90","-13.41","-4.88"
"174.63","4.75","-0.43","-8.79","0.40","0.07","-1.68"
"174.74","-6.39","-0.55","-16.20","-2.58","3.83","0.42"
"174.84","-0.90","-14.83","-16.20","-2.09","3.57","-0.04"
"174.94","2.28","4.82","-6.83","3.72","-0.63","2.11"
"175.04","-3.61","6.43","1.18","2.73","-1.73","-0.91"
"175.14","3.73","-4.59","0.75","-7.16","3.48","-15.43"
"175.25","-9.96","0.82","-10.40","-1.61","-5.26","2.64"
"175.35","-1.02","7.45","-8.20","6.15","-1.97","-4.97"
"175.45","0.67","-4.39","3.41","2.64","2.90","10.13"
"175.55","-11.45","1.49","-19.50","-4.87","8.18","-18.95"
"175.65","1.92","-2.98","-3.96","3.20","-2.21","0.68"
"175.76","-3.80","2.51","5.84","2.93","0.41","5.24"
"175.86","20.01","-20.01","-20.01","-1.18","-5.32","9.42"
"175.96","-10.43","6.24","-3.30","4.08","-2.15","-0.00"
"176.06","-2.75","6.83","-5.49","1.89","-0.97","-5.95"
"176.16","-1.49","-5.57","1.26","2.83","3.54","8.38"
"176.27","1.88","-20.01","-19.81","-1.25","3.01","11.00"
"176.37","0.16","-2.82","-3.14","3.29","-2.15","-1.38"
"176.47","-6.59","5.22","4.51","4.03","2.80","0.14"
"176.57","-1.69","20.01","-15.22","-17.07","-7.41","-28.22"
"176.67","-5.45","-6.24","-11.57","6.54","-0.40","8.81"
"176.78","-1.53","-0.27","-12.55","3.27","-0.87","-1.77"
"176.88","-4.28","5.84","2.59","0.89","3.17","-3.34"
"176.98","-0.82","9.38","-7.88","-12.50","-3.87","-20.63"
"177.08","-4.28","-2.00","-4.20","3.66","1.96","1.53"
"177.18","-2.98","6.08","4.86","4.22","1.80","2.26"
"177.29","-2.90","20.01","-17.65","-20.03","-4.38","-23.92"
"177.39","-3.26","-6.35","-17.97","6.62","-2.46","7.50"
"177.49","12.08","-3.06","4.12","7.00","-0.64","7.89"
"177.59","-6.94","18.44","3.45","0.96","1.42","-10.69"
"177.69","3.77","-15.22","-20.01","-15.69","-0.68","-11.12"
"177.80","-1.10","-20.01","-4.24","-0.47","0.92","0.68"
"177.90","-3.22","4.16","-4.31","4.77","1.80","-0.84"
"178.00","-20.01","-20.01","-20.01","-17.22","-7.51","-3.49"
"178.10","20.01","-20.01","-19.93","3.69","-4.58","6.67"
"178.20","1.57","1.80","-6.83","0.93","1.79","-4.73"
"178.31","-5.14","11.69","7.69","1.49","0.30","-8.16"
"178.41","4.08","0.31","-20.01","-14.36","-2.43","-11.12"
"178.51","6.08","5.65","-14.44","2.63","-0.73","-4.25"
"178.61","-2.43","-3.22","2.31","6.31","4.19","6.77"
"178.71","-20.01","-8.04","-20.01","-21.04","-7.11","-0.67"
"178.82","11.06","-17.42","-20.01","9.09","-3.27","0.37"
"178.92","-2.67","-2.55","0.20","6.05","0.54","7.34"
"179.02","-1.26","19.02","2.59","-0.74","1.38","-12.39"
"179.12","-0.04","0.51","-20.01","-14.53","0.38","-9.06"
"179.22","-1.65","-20.01","-4.55","6.55","2.64","18.48"
"179.33","-0.82","8.00","3.96","7.26","1.07","2.87"
"179.43","12.08","-20.01","-18.83","-15.78","-9.05","0.30"
"179.53","-2.08","-20.01","-20.01","9.21","2.92","12.31"
"179.63","11.45","0.71","-1.57","2.58","0.32","-0.04"
"179.73","-3.30","4.71","4.86","2.19","2.30","-4.21"
"179.84","-1.26","-18.51","-20.01","-4.94","-2.81","-4.86"
"179.94","-10.40","-14.83","-9.45","0.05","3.39","9.42"
"180.04","0.04","3.14","4.31","4.94","1.67","1.37"
"180.14","6.59","-7.45","-14.83","-0.78","-4.81","9.19"
"180.24","20.01","-20.01","-6.39","4.46","-3.93","5.17"
"180.35","3.80","-11.22","-20.01","1.37","1.20","-3.14"
"180.45","-2.59","10.16","4.12","1.68","0.20","-2.80"
"180.55","7.10","9.53","-9.85","0.81","-1.48","-2.49"
"180.65","-3.77","-20.01","-12.32","-6.59","-0.45","14.38"
"180.75","-0.08","-4.71","9.69","2.16","3.15","-1.70"
"180.86","-12.83","14.08","-2.67","7.39","6.78","4.22"
"180.96","-4.12","-15.30","-20.01","-3.77","-7.45","-4.88"
"181.06","13.53","8.94","-20.01","0.86","-3.91","-9.64"
"181.16","0.51","1.61","-6.67","-0.16","-1.35","0.94"
"181.26","-2.31","1.49","-2.63","2.04","4.33","7.23"
"181.37","20.01","-20.01","-20.01","-8.92","-0.32","14.07"
"181.47","-5.33","4.16","-6.55","4.63","0.65","-7.01"
"181.57","-7.53","9.73","-10.40","7.94","-0.01","0.01"
"181.67","4.08","-10.94","-9.69","-6.19","-12.67","7.38"
"181.77","9.69","-9.92","-15.57","2.64","-0.90","-1.28"
"181.88","6.24","-2.47","8.39","6.86","1.82","5.24"
"181.98","0.12","11.26","-2.94","-0.13","2.13","6.02"
"182.08","20.01","-20.01","2.28","-20.64","-6.89","-0.81"
"182.18","0.59","-1.57","-4.28","2.44","-0.74","-7.30"
"182.28","-3.77","1.96","6.24","6.21","2.91","1.99"
"182.39","-20.01","-11.02","-20.01","-18.13","-4.33","-11.26"
"182.49","-5.33","-0.71","-13.81","5.10","2.23","-0.05"
"182.59","3.37","-10.12","-6.35","2.76","-0.23","7.07"
"182.69","8.28","13.57","-2.90","-1.77","0.53","-9.13"
"182.79","0.55","0.51","-20.01","-6.96","-1.17","-6.94"
"182.90","-4.12","-18.12","-5.77","2.49","4.59","10.86"
"183.00","-2.12","1.92","0.31","5.09","-0.77","-0.43"
"183.10","-12.71","20.01","20.01","8.11","1.10","5.49"
"183.20","1.41","-15.97","-20.01","-2.64","-2.99","3.25"
"183.30","18.08","-10.43","-20.01","2.50","-3.62","-3.49"
"183.41","-3.84","0.75","4.59","1.29","2.23","0.75"
"183.51","-2.82","4.86","-10.04","3.94","2.10","-1.59"
"183.61","-9.34","-20.01","-20.01","-7.82","7.78","5.91"
"183.71","-0.71","-7.10","0.51","4.76","0.31","0.15"
"183.81","-12.71","3.37","-4.59","10.47","4.22","0.74"
"183.92","-2.00","-18.28","-20.01","-9.45","-10.34","8.56"
"184.02","-8.36","-17.93","-9.61","6.44","0.91","6.32"
"184.12","-0.39","-4.31","8.79","5.69","1.64","7.14"
"184.22","0.39","13.85","-7.85","7.07","-0.32","-2.89"
"184.32","-0.39","-20.01","-18.59","-15.79","-0.05","8.76"
"184.43","-5.61","-6.59","-1.80","6.44","0.62","-6.47"
"184.53","-7.49","10.24","-15.93","10.60","1.36","4.06"
"184.63","-13.65","-5.18","-20.01","-18.01","-10.28","-12.95"
"184.73","-5.57","-11.18","-20.01","4.10","3.67","4.59"
"184.83","1.88","-6.12","-11.14","2.53","1.38","-3.59"
"184.94","-1.92","-0.98","-0.04","1.96","2.35","1.62"
"185.04","-1.77","-8.67","-20.01","-3.57","-2.82","-6.15"
"185.14","-5.96","-5.77","-15.57","1.10","4.09","-3.61"
"185.24","-4.51","6.98","0.51","2.10","3.46","-1.03"
"185.34","-9.22","20.01","20.01","5.71","3.46","3.51"
"185.45","14.83","-20.01","-18.95","-1.37","-5.41","-0.07"
"185.55","1.84","-4.55","-16.95","1.00","-2.13","-0.78"
"185.65","10.83","-4.86","9.53","2.82","2.35","-1.25"
"185.75","-5.33","7.37","-0.86","2.54","4.64","2.25"
"185.85","-8.98","-8.63","-14.28","-5.73","-1.86","11.18"
"185.96","0.16","1.65","-1.37","2.36","5.15","-2.28"
"186.06","-10.40","5.10","-7.14","6.77","3.25","-0.87"
"186.16","-8.43","-20.01","-20.01","-2.73","-8.03","8.36"
"186.26","-5.26","-5.49","-13.49","3.91","0.77","1.17"
"186.36","7.14","-6.32","-15.53","0.91","-2.39","-6.14"
"186.47","-3.37","4.59","2.86","3.03","2.87","-1.18"
"186.57","6.28","-20.01","-20.01","-16.68","-5.29","4.05"
"186.67","1.02","-10.08","-0.12","4.51","0.76","-4.20"
"186.77","-4.43","6.90","2.79","7.75","3.27","4.19"
"186.87","-20.01","-20.01","-20.01","-22.84","2.16","-28.48"
"186.98","2.63","-20.01","-20.01","5.10","-0.26","0.11"
"187.08","1.69","-2.16","-4.86","4.31","1.19","4.69"
"187.18","-1.61","-1.14","5.73","1.84","1.70","1.87"
"187.28","-9.53","-20.01","-20.01","-2.24","-4.34","0.78"
"187.38","0.04","-20.01","-11.61","5.41","2.42","23.91"
"187.49","-3.14","5.10","-7.37","2.28","3.94","-4.63"
"187.59","-7.61","18.28","14.91","6.92","2.08","2.68"
"187.69","0.82","-20.01","-20.01","-4.00","-3.15","2.83"
"187.79","13.42","-1.02","-13.89","3.64","-3.06","-3.17"
"187.89","-0.24","-4.59","0.04","0.22","0.11","0.36"
