"Name:","run_127_1_1"
"EXPERIMENT TIME:","15/03/2024 20:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","159"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","0.43","1.29","-11.1","-0.06","0.04","0.03"
"0.05","0.43","1.53","-10.9","-0.06","0.05","0.02"
"0.1","0.35","1.29","-10.94","-0.06","0.06","-0.02"
"1.55","2.47","0.9","-15.49","0.7","-0.36","-0.73"
"3.53","0.04","3.73","-12.71","-0.5","1.33","0.14"
"3.58","-2.71","-2.67","-14.04","-0.36","1.41","-0.43"
"3.63","1.65","0.9","-4.75","-0.75","-0.35","0.97"
"3.68","3.77","3.69","-3.88","0.26","-0.35","0.52"
"3.73","-0.04","-2.12","-8.71","0.58","-1.16","0.44"
"3.78","4.12","2.51","-0.86","-0.02","-0.84","0.53"
"3.83","3.14","4.28","-20.01","0.29","-0.5","-0.43"
"3.88","-2.82","-6.86","-10.4","0.5","-0.5","-0.74"
"4.03","1.37","1.33","4.35","-0.8","-0.89","-0.27"
"4.08","3.1","0.39","-5.81","0.24","0.09","-0.47"
"4.13","-1.92","-2.71","-11.57","0.04","-0.63","-1.15"
"4.18","-5.96","-2.94","-20.01","0.69","0.7","-1.08"
"4.23","-4.75","1.14","-16.4","-0.29","0.91","-0.25"
"4.28","0.35","2.43","-10.0","-0.56","0.91","0.01"
"4.33","-0.27","-1.8","-9.26","-0.14","0.66","-0.77"
"4.38","-1.33","-2.43","-3.69","-0.43","-0.63","0.49"
"4.43","5.33","5.41","-4.12","-0.08","-0.62","0.93"
"4.48","1.57","-2.28","-5.22","0.31","-1.05","-0.59"
"4.53","1.37","0.55","-20.01","1.02","0.26","0.79"
"4.58","1.29","3.53","-20.01","-0.4","0.01","-0.15"
"4.63","-3.3","-5.73","-9.3","-0.07","-0.22","-1.31"
"4.68","-6.9","-4.67","-14.63","-0.05","0.51","0.68"
"4.73","-1.53","3.57","-6.79","-0.59","-0.32","1.12"
"4.78","0.86","3.1","2.79","-0.73","-0.35","0.1"
"4.83","-0.27","-1.26","-5.33","0.23","0.16","-0.47"
"4.88","-0.98","-2.04","-12.32","0.02","-0.21","-0.68"
"4.93","5.14","3.8","-20.01","0.35","1.17","-0.38"
"4.98","-3.65","-1.37","-13.85","-0.72","1.15","-0.16"
"5.03","-0.24","3.61","-14.32","0.02","1.25","0.24"
"5.08","-2.24","-1.18","-12.83","-0.1","1.29","-0.01"
"5.13","2.35","3.41","-4.55","-0.68","0.16","0.43"
"5.18","0.82","0.16","-2.2","0.33","-0.52","-0.19"
"5.23","2.31","-0.24","-7.41","0.75","-1.07","-0.24"
"5.28","6.83","3.14","-9.38","1.01","0.21","0.13"
"5.33","1.65","-2.28","-20.01","1.03","-0.19","-1.13"
"5.38","-4.2","-6.9","-15.18","-0.24","-0.55","-0.27"
"5.43","-3.92","0.35","-13.22","-0.44","-0.35","1.23"
"5.48","-2.24","3.02","-8.71","-0.31","-0.57","1.01"
"5.53","0.75","0.86","4.43","-0.66","-0.93","0.04"
"5.58","2.31","0.55","-3.77","0.24","-0.12","-0.29"
"5.63","2.2","-1.73","-10.79","0.57","-0.21","-0.98"
"5.68","1.29","3.8","-17.1","-1.93","1.03","0.64"
"5.73","2.24","4.12","-17.73","-0.63","0.66","-1.16"
"5.78","-4.82","-4.59","-16.16","0.77","0.94","-1.01"
"5.83","1.14","3.73","-9.45","-0.94","1.21","0.9"
"5.88","0.0","0.63","-5.96","0.46","0.41","-0.52"
"5.93","-0.08","0.08","-5.1","-0.09","0.09","0.26"
"5.98","2.98","1.73","-5.69","-0.02","-0.28","0.33"
"6.03","2.71","-1.22","-3.33","0.42","-1.18","-0.64"
"6.08","8.87","8.94","-20.01","2.34","0.44","0.93"
"6.13","-3.57","-8.12","-15.02","0.16","-0.59","-1.02"
"6.18","-3.84","-1.84","-16.95","-0.15","0.05","1.43"
"6.23","-1.57","3.65","-6.04","-0.86","-0.4","1.73"
"6.28","0.24","3.92","-3.53","-0.34","-0.45","0.56"
"6.33","0.63","-0.51","5.69","-0.78","-0.6","-0.38"
"6.38","3.96","1.29","-14.47","0.44","0.61","-0.73"
"6.43","1.18","1.37","-15.42","-1.08","0.48","0.32"
"6.48","-2.2","0.86","-19.89","-0.43","1.14","-1.52"
"6.53","-2.75","0.82","-14.16","-0.35","0.91","-0.49"
"6.58","1.33","5.53","-10.83","-0.39","1.36","-0.1"
"6.73","3.02","-0.55","-6.63","0.53","-0.56","-0.28"
"6.78","5.49","-2.51","-0.16","0.14","-1.0","-0.28"
"6.83","11.85","12.36","-20.01","1.5","-0.42","-0.53"
"6.88","-5.65","-10.67","-19.22","0.47","-0.61","-1.54"
"6.93","-1.92","-0.2","-13.45","-0.98","-0.54","1.85"
"6.98","-4.63","1.06","-9.81","-0.56","-0.37","1.59"
"7.03","1.88","5.69","-1.14","-1.07","-0.89","1.22"
"7.08","0.75","-2.51","5.88","0.53","-0.9","-0.73"
"7.13","2.2","1.65","-16.87","0.9","0.57","-0.49"
"7.28","-3.06","-2.86","-14.63","0.25","1.13","-1.34"
"7.33","0.78","2.59","-8.55","-0.6","1.25","0.44"
"7.38","0.24","2.12","-8.94","-0.08","0.87","-0.2"
"7.43","1.45","0.16","-1.06","-0.07","-0.56","-0.34"
"7.48","5.37","3.22","-7.14","0.36","-0.34","0.12"
"7.53","4.08","-4.12","-4.24","0.85","-1.17","-0.02"
"7.58","8.79","6.94","-20.01","1.31","0.32","1.14"
"7.63","-4.12","-6.55","-15.81","0.24","-0.53","-0.37"
"7.68","-4.08","-0.2","-15.42","-0.9","-0.14","2.07"
"7.73","-3.84","3.06","-10.67","-0.26","-0.61","1.45"
"7.78","0.82","4.16","-1.53","-0.8","-1.2","0.49"
"7.83","1.96","0.39","2.67","0.34","-0.6","-0.31"
"7.88","2.67","-1.84","-14.67","0.81","0.06","-1.4"
"7.93","9.96","8.75","-20.01","-1.04","1.42","0.89"
"7.98","-4.67","-3.53","-14.95","-0.28","0.35","-1.26"
"8.03","-1.65","3.65","-14.71","-0.24","1.5","0.4"
"8.08","-0.08","1.77","-8.63","-0.99","1.68","0.14"
"8.13","1.22","2.47","-12.0","-0.38","0.4","0.56"
