NAME: ,walk_113_2_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:09,,,,,
ACTIVITY TYPE: ,WALKING,,,,,
COUNT OF ACTUAL STEPS: ,25,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
100.66,-9.11,-0.75,2.08,0.02,0.27,-0.18
100.71,-9.35,-0.78,2,-0.04,0.31,-0.23
100.76,-9.03,-0.98,1.84,-0.05,0.31,-0.22
100.82,-9.74,-0.82,1.41,-0.09,0.38,-0.28
100.87,-9.42,-0.94,1.37,-0.1,0.41,-0.29
100.93,-10.72,-1.65,2,0.08,0.48,-0.41
100.98,-12.17,0.43,2.16,0.34,0.21,-0.39
101.04,-12.72,-1.49,1.29,-0.34,-0.26,0.3
101.09,-12.17,-2.75,0.94,-0.39,-1.12,0.59
101.14,-10.8,-3.33,1.92,-0.54,-1.69,0.52
101.2,-8.76,-1.92,2.16,-0.33,-1.51,0.59
101.25,-9.93,-0.24,2.67,-0.29,-1.57,0.4
101.31,-6.76,-3.73,3.06,-0.7,-1.71,0.21
101.36,-6.48,-2.35,4.31,-0.53,-1.54,0.32
101.41,-6.09,-2.16,3.69,-0.18,-1.03,0.34
101.47,-4.68,-0.94,4.16,-0.18,0.01,0.24
101.52,-5.7,-0.94,5.22,-0.26,1.1,0.21
101.57,-11.39,-1.26,6.39,-0.19,0.68,0.18
101.63,-8.99,0.75,11.41,-0.2,-0.69,0.07
101.68,-10.29,-0.63,4,-0.41,-0.38,0.37
101.74,-18.92,-7.69,-1.65,0.12,1.63,-0.68101.79
101.85,-10.68,-0.78,2.12,1.09,2.51,0.45
101.91,-6.13,-1.41,1.18,0.74,0.86,0.01
101.96,-8.01,-0.55,2.79,0.58,1.19,-0.41
102.02,-8.09,-0.08,1.88,0.59,1.14,-0.51
102.07,-8.72,-0.27,1.77,0.32,1.04,-0.45
102.12,-8.91,-1.69,1.37,0.25,0.82,-0.61
102.18,-10.44,0.24,-0.24,0.41,0.41,-0.48
102.23,-13.35,-1.22,1.65,0.1,0.18,0.04
102.29,-12.76,-1.49,-1.02,0.09,-0.98,0.22
102.34,-12.21,-8,4.16,-1,-2.37,1.47
102.39,-13.94,0.31,0.04,0.07,-0.95,0.45
102.45,-8.72,-1.8,4.04,-0.21,-1.98,0.36
102.5,-4.29,-2.47,3.65,-0.91,-2.01,0.19
102.56,-4.17,-1.22,2.51,-0.91,-1.44,0.16
102.61,-4.25,-2.24,3.69,-0.31,-0.47,0.53
102.67,-4.91,-1.1,4.47,-0.18,0.89,0.02
102.72,-6.95,-1.84,6.59,-0.06,1.47,-0.25
102.77,-19.51,0.04,9.81,-0.18,-0.02,-0.27
102.83,-10.56,-1.61,4.31,0.11,-1.7,0.12
102.88,-16.49,-7.65,-0.82,0.68,1.55,-0.64
