NAME:,walk_121_4_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:48,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.048922,1.18,-8.28,3.73,-0.02,0.01,0
0.124962,0.98,-8.39,3.61,-0.02,-0.03,0.04
0.27982,1.06,-8.32,3.65,-0.03,-0.04,0.05
0.353264,1.22,-8.36,3.88,-0.04,-0.01,0.02
0.458011,1.06,-8.36,3.57,-0.04,0.02,-0.01
0.534923,1.37,-8.36,3.41,-0.04,0.01,-0.02
0.645069,1.26,-8.43,3.77,-0.03,0.04,-0.03
0.733394,1.18,-8.47,3.41,-0.03,0.03,-0.03
0.840771,1.26,-8.36,3.53,-0.04,0.04,-0.03
0.912612,0.94,-8.32,3.92,-0.04,0.02,-0.04
1.013388,0.9,-8.55,4.12,-0.01,-0.01,-0.05
1.129524,0.75,-8.47,3.88,0.04,-0.06,-0.02
1.236427,1.02,-8.32,3.45,0.07,-0.13,0
1.362569,1.06,-8.16,3.69,0.09,-0.13,0.01
1.441684,1.69,-8.59,4.08,0.04,-0.2,0.05
1.54746,1.29,-8.12,4.71,0.18,-0.38,0.14
1.6534,1.69,-8.08,4.24,0.29,-0.66,0.11
1.774012,1.61,-7.1,3.73,0.4,-0.84,0.11
1.846004,2.31,-6.83,4.08,0.23,-0.62,0.19
1.949346,1.1,-6.32,4.86,-0.19,-0.25,0.2
2.069947,0.94,-7.41,7.14,0.41,-0.93,0.3
2.188577,7.77,-12.2,8.43,0.92,-0.71,0.33
2.266597,3.84,-7.92,2.67,-0.71,1.19,0.33
2.370093,1.26,-9.81,2.31,-0.61,0.84,0.46
2.486365,0.12,-5.02,4,0.04,1.26,0.41
2.568933,0.2,-5.65,1.96,-0.09,0.4,-0.16
2.669397,-1.92,-7.77,7.65,-0.37,-0.36,-0.29
2.778427,-0.35,-11.61,9.02,-0.01,0.26,0.28
2.864049,1.18,-9.77,-0.39,0.34,-0.22,-0.63
2.963969,1.14,-6.39,7.85,0.07,-0.73,-0.03
3.06713,0.24,-5.33,0.2,1.05,-1.79,0.41
3.178784,3.53,-3.33,1.1,-0.27,-0.44,0.43
3.299035,4.94,-10.47,9.69,0.97,-0.45,0.34
3.367129,8.28,-10.08,-4,-0.86,0.89,-0.16
3.469423,1.77,-14.83,0.04,-1.84,3.27,0.19
3.572237,1.41,-3.92,1.88,-0.22,1.71,-0.04
3.648121,-1.73,-4.75,1.14,-0.07,0.75,-0.64
3.760644,-1.61,-10.24,10.79,-1.13,-0.7,-0.36
3.857477,2,-12.71,9.22,0.9,0.14,0.43
3.977446,9.02,-14.91,-1.69,-1.45,-0.26,-0.75
4.051029,-1.18,-4.59,4.67,0.82,-1.74,0.19
4.14642,0.47,-3.69,-0.55,0.6,-1.38,0.56
4.261005,1.02,-7.65,9.77,-0.76,0.38,0.9
4.363127,-0.16,-11.22,12.67,1.16,-1.35,0.04
4.474044,6.28,-11.77,1.61,0.2,0.8,-0.03
4.584786,1.22,-4.55,1.14,-0.52,0.27,0.46
4.682798,2.2,-1.88,3.49,-0.03,0.84,-0.18
4.796187,-4.47,-8.2,3.84,-0.26,-0.6,-0.51
4.912863,-1.84,-14.44,7.69,0.48,0.55,0.46
5.017623,1.26,-9.61,-0.94,0.6,0.97,-1.06
5.09577,1.14,-4.67,4.82,0.42,-0.69,-0.15
5.208978,-1.69,-4.67,-1.57,0.77,-2.42,0.61
5.325394,4.94,-2.86,2.31,-0.55,-0.34,0.86
5.396334,3.65,-14.71,9.77,0.87,-1.14,0.27
5.507693,5.14,-3.14,-3.96,-0.62,0,-0.54
5.634809,1.29,-15.42,1.88,-1.06,2.35,0.92
5.72637,2.94,-4.04,0.75,-0.7,1.95,-0.48
5.829558,-2.75,-6.2,0.9,0.08,0.63,-0.66
5.936386,-0.94,-10.2,10.04,-0.65,-0.5,-0.23
6.048819,0,-12.67,7.18,1.46,0.62,0.28
6.12693,7.61,-11.45,-0.43,-0.99,0.27,-0.42
6.234109,-2.94,-4.82,4.16,1.02,-2.13,0.37
6.34903,0.71,-3.84,0.78,0.53,-1.46,0.57
6.435807,-1.49,-9.45,9.53,-0.77,0.39,0.78
6.532851,6.39,-11.81,7.85,1.67,-2.15,-0.14
6.642858,2.67,-13.34,-0.08,0.18,2.26,0.5
6.765382,1.57,-4.35,1.57,-0.12,0.63,0.35
6.840237,0.47,-2.94,3.73,0.06,1.19,-0.56
6.950097,-4,-7.57,5.61,-0.45,-0.42,-0.5
7.072486,0.24,-14.04,9.53,0.16,0.05,0.54
7.143481,3.45,-14.32,-1.18,0.03,-0.31,-1.41
7.251371,1.33,-4.9,4.94,-0.15,-0.4,-0.08
7.369427,-0.82,-3.57,-2.43,0.78,-2.16,0.66
7.443363,2.98,-4.55,4.63,-1.04,-0.02,0.66
7.561874,5.02,-12.47,9.89,0.5,-2.03,0.11
7.668428,4.16,-8.32,0.24,-0.77,1.77,-0.1
7.768146,0.39,-10.08,1.88,-0.87,1.14,0.51
7.892682,2.51,-3.22,3.26,0.01,2.11,-0.38
7.961894,-2.75,-5.77,0.08,-0.13,0.32,-0.64
8.066445,-3.18,-12.16,6.43,0.11,0.16,-0.11
8.190296,-1.45,-11.18,3.73,1.88,1.67,-0.39
8.260251,6.86,-13.49,0.94,-0.53,-0.5,-0.25
8.367775,-3.92,-2.94,6.04,1.82,-2.42,0.43
8.493772,3.49,-2.16,1.06,0.62,-0.97,0.4
8.573917,-1.37,-9.49,11.61,-0.99,0.58,0.64
8.679863,0.04,-11.57,12.71,1.7,-1.61,-0.13
8.795788,3.33,-13.38,0,0.17,1.46,0.12
8.92868,1.69,-5.14,2.12,-0.4,0.68,0.36
