"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","9.41","2.35","0.27","-0.02","0.06","-0.01"
"0.059","9.14","2.47","0.24","0.02","0.06","-0.02"
"0.940","11.0","3.22","0.08","-0.18","-0.21","-0.21"
"1.0","8.67","3.14","-0.08","-0.53","0.21","0.34"
"1.070","10.0","4.04","-0.24","-0.62","-0.18","-0.13"
"1.440","8.43","2.90","-0.94","-0.23","0.39","-0.29"
"1.510","8.90","2.90","-0.27","-0.62","0.43","-0.11"
"1.570","10.0","2.08","0.12","-0.69","-0.01","-0.07"
"1.630","8.87","3.77","4.08","-0.01","-1.28","0.04"
"1.699","13.2","5.18","3.69","0.81","-2.04","0.10"
"1.760","10.0","4.00","0.35","0.51","-0.71","-0.06"
"1.820","6.20","2.75","-0.43","0.40","0.01","0.22"
"1.889","6.71","2.00","-2.35","-0.14","-0.45","0.71"
"1.949","7.96","-0.08","-2.43","0.17","0.15","0.27"
"2.010","8.39","1.14","-3.30","0.50","0.44","-0.50"
"2.070","11.3","3.77","-3.14","0.04","-0.30","-0.16"
"2.139","16.5","8.55","2.20","-0.50","0.20","0.15"
"2.199","7.69","0.78","1.65","-0.61","0.79","0.83"
"2.260","8.67","3.53","-1.77","-0.29","0.45","-0.76"
"2.330","5.96","5.53","0.55","-0.70","0.56","-0.57"
"2.389","5.81","0.63","-1.80","-0.39","-0.38","-0.18"
"2.449","9.30","3.61","0.39","-0.97","0.61","-0.28"
"2.520","8.87","1.92","-0.39","-0.45","0.95","-0.33"
"2.580","10.0","0.04","-0.98","-0.52","0.12","-0.25"
"2.639","8.12","2.47","4.51","-0.62","-0.01","0.01"
"2.699","10.1","6.28","4.08","-0.28","-2.12","0.13"
"2.770","12.4","4.43","-0.35","1.07","-1.84","-0.14"
"2.830","6.67","0.39","-0.86","0.35","0.03","0.33"
"2.889","6.32","1.88","-1.80","0.01","-0.15","0.75"
"2.960","8.39","0.71","-3.30","0.30","-0.06","0.36"
"3.020","8.43","0.16","-2.79","0.89","0.68","-0.33"
"3.080","11.1","3.69","-2.28","0.21","-0.01","-0.11"
"3.150","17.7","10.4","1.73","-0.66","0.08","0.41"
"3.210","7.53","0.04","1.26","-0.06","0.85","1.00"
"3.270","9.14","3.80","-1.61","0.06","0.39","-0.71"
"3.330","6.35","3.92","0.27","-0.09","0.79","-0.56"
"3.400","5.88","1.37","-2.63","0.04","0.01","-0.10"
"3.460","9.06","4.20","-0.47","-0.79","0.89","-0.29"
"3.520","8.08","2.82","-0.16","-0.42","1.01","-0.29"
"3.589","10.7","-0.67","-2.43","-0.55","-0.03","-0.17"
"3.650","7.57","2.35","6.16","0.25","-0.80","-0.15"
"3.710","12.0","7.65","3.65","0.28","-1.97","0.01"
"3.770","11.9","3.22","0.24","1.04","-1.12","-0.16"
"3.839","6.20","1.65","-0.43","0.49","0.10","0.24"
"3.900","6.63","3.06","-2.28","0.37","-0.54","0.57"
"3.960","8.39","0.55","-2.90","0.28","0.21","0.31"
"4.029","7.96","0.27","-2.94","0.89","0.60","-0.40"
"4.089","11.8","4.71","-2.98","0.40","-0.15","-0.25"
"4.150","16.8","9.41","2.16","-0.54","-0.01","0.34"
"4.220","7.10","-0.16","1.49","-0.55","0.87","0.98"
"4.279","10.6","4.08","-1.26","-0.05","0.19","-0.74"
"4.339","6.39","5.69","0.63","-0.36","0.80","-0.66"
"4.400","5.37","1.29","-1.80","-0.24","-0.11","-0.17"
"4.470","8.63","2.79","1.49","-1.14","0.72","-0.33"
"4.529","8.55","2.79","-0.90","-0.58","0.78","-0.29"
"4.589","10.2","-1.10","-1.92","-0.62","0.03","-0.18"
"4.660","8.20","1.41","4.59","-0.51","0.08","-0.22"
"4.720","10.2","8.12","3.22","-0.01","-1.95","-0.35"
"4.779","13.2","5.73","2.24","1.34","-1.73","-0.08"
"4.850","8.87","0.12","-1.49","0.29","-0.20","0.22"
"4.910","6.83","2.94","-1.22","0.45","-0.45","0.57"
"4.970","8.04","1.65","-3.06","0.06","-0.08","0.64"
"5.040","7.96","-0.31","-2.86","0.72","0.79","-0.20"
"5.100","9.77","3.65","-0.75","0.52","0.54","-0.48"
"5.160","15.6","6.24","-0.12","-0.22","0.03","0.28"
"5.220","7.92","1.49","0.63","-0.65","0.64","1.32"
"5.290","11.0","3.45","0.08","0.15","0.16","-0.23"
"5.350","7.37","6.51","0.51","0.21","0.92","-0.79"
"5.410","5.18","1.77","-1.80","-0.42","0.26","-0.24"
"5.479","7.57","2.39","0.20","-0.90","0.61","-0.38"
"5.540","8.39","3.73","-1.92","-0.77","0.86","-0.37"
"5.600","8.98","0.31","0.08","-0.56","0.22","-0.28"
"5.660","9.06","2.71","3.37","-0.98","0.29","-0.15"
"5.729","9.53","7.30","3.80","0.19","-2.30","-0.25"
"5.790","15.0","7.06","1.22","1.37","-1.63","0.00"
"5.850","8.79","-0.43","-1.77","0.29","-0.53","0.07"
"5.919","6.75","1.77","-1.45","1.06","0.00","0.62"
"5.979","7.85","2.51","-2.79","0.40","0.03","0.69"
"6.040","7.49","-0.12","-3.37","0.82","1.00","-0.12"
"6.110","9.96","5.69","0.04","1.04","0.56","-0.57"
"6.169","16.1","9.18","0.82","-0.53","0.22","0.30"
"6.229","7.06","2.31","-0.08","-0.63","0.25","1.27"
"6.290","11.3","3.77","-0.27","-0.08","-0.01","-0.60"
"6.360","6.90","8.00","-0.16","-0.10","0.86","-0.93"
"6.419","5.02","-0.16","-1.80","-0.37","-0.05","-0.13"
"6.479","8.28","2.43","1.14","-0.93","1.11","-0.30"
"6.550","7.57","5.02","-1.88","-0.53","0.46","-0.38"
"6.610","9.85","-0.94","-0.63","-0.74","0.16","-0.03"
"7.919","8.67","0.86","-1.37","1.37","-0.08","0.33"
"7.990","6.55","2.39","-1.88","0.74","-0.03","0.80"
"8.050","7.18","1.45","-1.69","0.90","1.02","0.19"
"8.860","10.2","1.88","0.67","-0.02","-0.17","-0.00"
"8.930","7.85","2.16","-0.71","0.51","0.05","0.31"
"8.990","6.39","2.39","-2.79","-0.08","-0.41","0.78"
"9.050","7.96","-0.35","-2.63","0.22","0.88","-0.10"
"9.110","8.71","2.47","-1.45","0.91","0.57","-0.70"
"9.180","12.5","3.96","-4.63","-0.10","-0.23","0.15"
"9.240","6.35","6.90","0.12","-0.75","0.20","1.52"
"9.300","10.2","-0.47","3.30","-0.09","0.12","0.25"
"9.370","9.02","7.73","-1.41","0.11","0.66","-0.88"
