NAME:,walk_124_3_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:32,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,96,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,1.29,8.04,-0.2,-0.19,0.01,-0.35
0.099976,1.69,10.59,0.47,0.22,-0.02,-0.06
0.210083,1.1,10.04,0.78,0.08,0.05,-0.04
0.310059,1.02,9.22,0.71,-0.06,-0.19,0.11
0.410034,0.86,10.16,1.45,0.03,0.19,-0.03
0.51001,1.22,9.38,0.47,-0.16,0.28,0.1
0.609985,-0.43,11.77,1.02,0.34,0.42,0.12
0.719971,-0.55,9.65,-0.04,0.3,0.2,0.47
0.820068,-1.26,9.85,0.94,0.33,0.43,0.18
0.920044,0.59,9.92,0.24,0.1,-0.08,0.21
1.02002,-0.63,13.85,0.86,0.78,1.03,0.26
1.119995,3.84,11.57,-0.12,0.36,0.05,-0.12
1.22998,2.94,10,0.82,-0.17,-0.36,-0.59
1.330078,0.78,8.75,0.04,-0.58,-0.42,-0.43
1.430054,-0.71,8.67,1.29,-0.53,-0.59,-0.21
1.530029,-1.06,7.81,1.41,-0.05,-0.52,0.01
1.630005,0.31,11.22,3.65,-0.16,-1.02,-0.32
1.73999,3.88,14.75,-0.31,-0.45,-0.33,-0.58
1.839966,3.14,8.43,0.27,-0.32,-0.03,-0.06
1.940063,1.69,9.22,0.31,0.44,0.29,0.4
2.040039,-0.12,9.22,0.59,0.65,0.72,0.42
2.150024,-0.47,8.98,-0.43,0.35,0.61,0.17
2.25,1.65,9.85,0,0.09,0.06,0.59
2.550049,0.39,13.77,0.82,0.83,0.54,-0.35
2.660034,1.22,7.85,-3.06,-0.58,-1.33,-0.78
3.060059,0.55,14.4,1.96,-0.01,-0.05,-0.2
3.680054,1.84,10,0.31,0.09,-0.58,0.32
3.97998,1.06,10.79,0.27,0.14,0.34,-0.6
4.080078,1.73,8,-0.27,-0.45,-0.93,-0.41
5.099976,0.43,9.77,0.51,0.23,1.14,0.36
5.719971,1.61,9.65,1.49,0.33,0.25,0.11
5.820068,1.96,13.69,3.3,0.12,0.78,-0.36
5.920044,3.53,10.63,0.2,-0.33,0.9,-0.06
6.02002,3.02,8.67,0.27,0.45,1.01,0.18
6.119995,2.75,9.34,-0.16,0.29,1.34,0.49
6.22998,0.63,10.12,0,0.61,1.75,0.41
6.330078,-0.59,9.57,0.75,0.43,1.61,0.3
6.430054,-0.24,10.24,0.47,0.17,1.09,0.3
6.530029,0.51,9.38,1.14,0.02,0.6,0.19
6.630005,0.75,12.75,1.37,0.84,1.56,0.09
6.73999,4.16,8.87,0.08,0.68,0.72,0.08
6.839966,1.57,11.89,-0.35,-0.01,1.35,-0.06
6.940063,1.37,7.49,0.75,-0.25,0.58,0.06
7.040039,0.31,8.32,1.33,0.3,0.73,0.24
7.140015,-0.24,8.36,0.82,0.41,0.56,0.23
7.25,0.2,11.14,1.33,0.47,-0.02,-0.06
7.349976,4.59,13.69,2.04,-0.13,0.1,-0.63
7.450073,3.18,8.39,-0.86,-0.43,0.99,-0.13
7.550049,2.63,9.49,-0.31,0.74,1.48,0.27
7.650024,1.96,8.55,-0.2,0.74,1.75,0.5
7.76001,0.59,10.47,-0.59,0.62,1.78,0.41
7.859985,-0.51,9.26,-0.12,0.15,1.54,0.21
7.960083,1.18,10.55,2.2,0.02,0.6,0.1
8.060059,1.06,12.94,2,0.25,0.95,0.59
8.160034,3.22,10.08,-1.29,0.44,0.18,-0.21
8.27002,1.29,10.75,-0.51,-0.16,0.57,-0.48
8.369995,1.45,8.47,-0.12,-0.51,-0.81,-0.15
8.469971,0,9.22,0.75,-0.23,-0.45,0.04
8.570068,-0.12,9.61,0.98,-0.08,-0.52,0.16
8.670044,-0.67,10.83,1.8,-0.18,-0.96,-0.1
8.780029,3.22,14.04,1.41,-0.3,-0.4,-0.57
8.880005,2.82,8.55,0.35,-0.13,-0.06,0.08
8.97998,2.08,8.39,0.08,0.82,0.27,0.53
9.080078,-0.51,10.32,-0.94,0.52,0.39,0.29
9.180054,0.16,9.3,-0.55,0.19,0.09,0.1
9.290039,1.41,9.77,-1.77,0.12,-0.3,0.15
9.390015,-0.08,11.22,2.86,0.65,0.5,-0.13
9.48999,2.86,9.45,-0.2,-0.14,-0.6,-0.32
9.589966,1.37,13.26,-1.26,0.55,-0.14,-0.63
9.690063,-0.35,9.3,-1.02,-0.49,-1.25,-0.29
9.800049,0.59,8.75,-0.08,-0.38,-1.54,0
9.900024,0.2,8.28,-1.22,-0.35,-1.05,0.18
10,0.59,10.28,1.49,-0.06,-1.17,0.09
10.099976,1.92,15.18,2.24,0.14,0.77,0.18
10.200073,2,9.34,-0.39,-0.27,0.23,-0.47
10.310059,1.53,8.47,-0.24,0.63,0.33,0.2
10.410034,0.39,8.94,0.39,0.38,0.56,0.59
10.51001,-0.12,10,-0.27,0.72,0.36,0.34
10.609985,0.47,9.38,0.51,-0.02,-0.08,0.29
10.710083,-0.08,10.79,0.82,0.16,0.5,0.24
10.820068,0.98,12.91,-0.51,0.72,0.87,0.04
10.920044,3.73,11.02,-0.31,0.38,-0.34,0.2
11.219971,0.63,8.75,1.02,-0.43,-0.89,-0.36
11.320068,-1.1,8.08,1.57,0.07,-0.45,0.06
12.339966,2,11.3,-0.35,-0.23,-0.25,-0.37
12.450073,1.29,8.94,-0.63,-0.72,-1,-0.29
13.670044,3.65,10.12,-1.06,-0.25,-1.34,-0.45
13.77002,1.53,11.49,-1.8,-0.29,-1.2,-0.68
13.880005,2,9.1,-0.9,-0.67,-2.22,-0.6
14.180054,-1.06,9.49,0.2,-0.42,-1.13,-0.26
14.280029,-0.63,11.06,3.06,-0.45,-0.09,-0.77
14.390015,2.39,8.67,-1.45,0.06,-0.33,-1.14
14.48999,2.12,8.79,2.2,0.54,-1.52,-0.18
14.589966,0.67,8.16,0.51,0.36,-0.68,0.19
14.690063,0.75,9.92,0.78,0.49,-0.47,0.25
14.790039,-0.35,9.69,-1.61,0.86,0.46,0.24
14.900024,1.41,10.59,-0.2,-0.05,-0.45,0.29
15,0,11.69,0.24,0.28,0.82,-0.21
15.099976,4.71,10.71,-0.35,0.23,-0.49,-0.16
15.200073,2.94,11.1,0.63,-0.08,-0.64,-0.4
15.300049,0.67,8.83,0.2,-0.48,-0.83,-0.17
15.410034,0.51,11.06,0.63,-0.33,-1.39,-0.21
15.51001,0.35,7.73,0.75,-0.54,-1.42,-0.31
15.609985,-2.31,7.96,1.69,-0.2,-0.94,-0.53
15.710083,3.88,16.04,0.12,-0.5,-0.98,-0.52
15.810059,2,8.2,-0.08,-0.04,-0.04,-0.1
15.920044,1.49,9.69,0.9,0.34,-1.29,0.1
16.02002,0.86,9.18,0.51,0.64,-0.44,0.42
16.119995,0.86,10.08,-0.31,0.48,-0.51,0.22
16.219971,1.1,9.53,-0.16,0.07,-0.44,0.17
16.320068,0.39,10.36,0.9,0.12,-0.11,0.22
16.430054,0.55,13.57,-0.9,0.61,0.68,0.19
16.530029,4.2,10.16,0.08,-0.34,-1,-0.23
16.630005,0.78,10.94,-1.1,-0.31,-0.79,-0.41
16.72998,1.88,8.98,-0.35,-0.51,-1.54,-0.54
16.830078,0.94,9.26,0.55,-0.47,-1.59,-0.33
