"NAME:","walk_126_2_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:41"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","70"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"9.08","5.96","1.41","-12.79","-0.42","1.30","-2.46"
"9.19","1.69","-1.92","-5.73","-0.36","1.07","0.49"
"9.29","-0.67","-1.84","-2.55","-0.41","0.15","2.19"
"9.39","13.38","-1.96","-7.92","-0.09","-1.86","0.15"
"9.49","2.31","-3.57","-1.73","-1.33","1.85","0.82"
"9.59","0.43","-10.08","-4.71","-0.32","2.63","2.90"
"9.69","10.55","-6.20","-12.67","2.23","-1.34","0.48"
"9.80","3.49","-1.33","-8.75","1.65","-2.25","0.97"
"9.90","2.47","-2.90","-9.85","0.79","-1.05","0.38"
"10.00","-1.49","-2.86","-11.57","-0.63","-1.05","-0.04"
"10.10","-1.18","-0.27","-13.30","0.73","0.09","-3.70"
"10.20","6.04","1.45","-13.61","-0.70","1.90","3.03"
"10.31","0.94","-5.49","-9.18","4.93","-7.23","1.94"
"10.41","0.35","-1.14","-5.73","-1.14","2.13","1.39"
"10.51","-0.27","0.98","-3.18","-0.42","0.16","2.00"
"10.61","5.88","-4.43","-8.79","0.06","-2.73","0.85"
"10.72","2.12","-1.18","-6.67","-1.14","2.08","-0.08"
"10.82","0.86","-11.26","-3.73","-0.12","1.73","0.34"
"10.92","0.31","-2.28","-17.26","1.78","-2.10","-1.10"
"11.02","-1.61","-0.31","-8.36","1.90","-2.11","0.46"
"11.12","2.43","-3.06","-9.81","0.55","-1.32","-0.32"
"11.23","-1.10","-3.22","-11.14","0.14","-1.35","-1.07"
"11.33","-3.30","-2.55","-11.57","1.19","1.38","2.09"
"11.43","-2.00","-4.20","-9.41","-2.19","3.33","3.60"
"11.53","2.31","-7.73","-8.79","-1.84","2.22","-2.40"
"11.64","1.57","-2.08","-7.30","-0.52","1.41","2.01"
"11.74","-0.98","-3.02","-5.53","-1.05","0.61","2.60"
"11.84","1.37","-3.53","-8.79","-0.93","-3.11","-0.33"
"11.94","4.82","5.77","-11.57","-1.22","2.40","0.85"
"12.04","1.80","-3.84","-9.53","-0.21","-0.14","1.31"
"12.15","-3.26","-2.31","-18.12","2.80","-1.99","-0.62"
"12.25","-1.06","-4.08","-7.77","1.57","-1.70","-0.59"
"12.35","3.65","-5.53","-8.67","-0.42","-1.41","0.63"
"12.45","-0.67","-2.67","-9.61","1.27","-0.78","-0.68"
"12.55","-2.43","-3.14","-13.22","0.81","0.44","-0.15"
"12.65","0.16","-6.75","-10.75","-1.38","3.05","-0.77"
"12.76","5.26","-1.61","-9.02","-1.10","1.52","-2.25"
