"Name:","walk_127_3_1"
"EXPERIMENT TIME:","15/03/2024 20:24"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","86"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-1.33","2.0","-10.87","-0.02","0.01","0.05"
"0.05","-1.29","2.0","-10.9","0.0","-0.01","0.03"
"0.1","-1.02","1.92","-10.87","0.05","-0.02","-0.01"
"0.15","-0.67","2.04","-10.08","0.08","0.03","-0.11"
"0.2","-1.61","0.75","-11.1","0.12","0.1","-0.1"
"0.25","-2.67","1.02","-12.12","-0.14","-0.01","0.33"
"0.3","-2.24","2.43","-11.34","-0.03","-0.1","0.12"
"0.35","-1.65","1.57","-10.12","0.1","-0.03","-0.14"
"0.4","-1.92","0.98","-10.36","0.15","0.09","-0.25"
"0.45","-2.28","1.57","-10.12","0.12","0.14","-0.2"
"0.5","-2.24","0.98","-10.83","0.18","0.14","-0.29"
"0.55","-1.92","0.98","-10.0","0.08","0.14","-0.29"
"0.6","-2.12","0.78","-10.98","0.12","0.27","-0.36"
"0.65","-2.12","0.27","-9.69","-0.08","0.18","-0.38"
"0.7","-2.08","0.71","-10.4","-0.03","0.35","-0.3"
"0.9","-2.55","-1.18","-14.44","0.08","-0.18","-0.23"
"0.95","-0.2","1.92","-13.93","-0.76","-0.37","0.34"
"1.0","-0.08","1.37","-12.12","-0.3","-0.41","0.17"
"1.05","-0.04","2.9","-7.49","0.12","-0.18","0.01"
"1.1","-0.04","1.8","-7.81","-0.02","0.16","-0.11"
"1.15","-0.43","1.73","-12.36","0.0","0.32","0.34"
"1.2","0.24","2.79","-10.59","-0.07","0.18","0.38"
"1.25","-0.63","1.22","-9.69","0.03","0.34","0.39"
"1.3","-0.43","2.43","-9.77","-0.24","0.32","0.66"
"1.35","-0.94","2.31","-10.43","-0.23","0.48","0.63"
"1.55","-2.04","2.51","-10.47","0.07","-0.01","0.5"
"1.6","-0.51","3.65","-10.63","-0.02","-0.04","0.39"
"1.65","-0.82","1.41","-12.24","0.08","-0.1","0.09"
"1.7","-2.43","-0.51","-15.34","0.39","-0.17","0.36"
"1.75","-0.04","6.43","-12.12","-0.89","-0.53","1.41"
"1.8","2.16","5.77","-11.49","-0.14","-0.41","0.17"
"1.85","2.35","-1.22","-9.73","0.71","-0.2","-1.13"
